MUSEUM,MATCHADDRESS,LATITUDE,LONGITUDE,ID,status,stat_point,Station_Name,approx_distance_miles
National Archives,700 PENNSYLVANIA AVENUE NW,38.89284625,-77.02285696,293251,active,POINT(-77.026013 38.893028),10th St & Constitution Ave NW,0.1702221785154475
National Archives,700 PENNSYLVANIA AVENUE NW,38.89284625,-77.02285696,293251,active,POINT(-77.02324 38.894851),8th & D St NW,0.1400682070957271
National Building Museum,401 F STREET NW,38.89775511,-77.01755124,242924,active,POINT(-77.016106 38.895344),4th & D St NW / Judiciary Square,0.18386721589479263
National Building Museum,401 F STREET NW,38.89775511,-77.01755124,242924,active,POINT(-77.015289 38.899408),3rd & H St NW,0.1668900284194399
National Building Museum,401 F STREET NW,38.89775511,-77.01755124,242924,active,POINT(-77.019347 38.897222),5th & F St NW,0.10337295373051736
National Gallery of Art - East Building,,38.891206,-77.016616,293209,active,POINT(-77.013917 38.892275),Constitution Ave & 2nd St NW/DOL,0.16289312929723335
National Gallery of Art - East Building,,38.891206,-77.016616,293209,active,POINT(-77.017253 38.890493),4th St & Madison Dr NW,0.06001646169461095
National Gallery of Art - West Building,,38.891299,-77.019922,293249,active,POINT(-77.017253 38.890493),4th St & Madison Dr NW,0.15399217542388646
National Geographic Museum,1145 17TH STREET NW,38.90518966,-77.03815314,290192,active,POINT(-77.0398020744324 38.9059956999911),Rhode Island & Connecticut Ave NW,0.10472180124853467
National Geographic Museum,1145 17TH STREET NW,38.90518966,-77.03815314,290192,active,POINT(-77.03863 38.90276),17th & K St NW,0.1698566243064752
National Guard Memorial Museum,1 MASSACHUSETTS AVENUE NW,38.89811835,-77.00955916,238009,active,POINT(-77.008911 38.899703),North Capitol St & G Pl NE,0.11492694627495936
National Guard Memorial Museum,1 MASSACHUSETTS AVENUE NW,38.89811835,-77.00955916,238009,active,POINT(-77.009888 38.897446),North Capitol St & F St NW,0.04971721130003747
National Guard Memorial Museum,1 MASSACHUSETTS AVENUE NW,38.89811835,-77.00955916,238009,active,POINT(-77.011616 38.897108),New Jersey Ave & F St NW,0.13081891321190428
National Museum of African American History and Culture,1400 CONSTITUTION AVENUE NW,38.89124508,-77.03280325,310702,active,POINT(-77.033234 38.892244),15th St & Constitution Ave NW,0.0728180551335971
National Museum of African Art,950 INDEPENDENCE AVENUE SW,38.8879547,-77.02550689,293262,active,POINT(-77.02858 38.888767),Smithsonian-National Mall / Jefferson Dr & 12th St SW,0.17457976039504194
National Museum of African Art,950 INDEPENDENCE AVENUE SW,38.8879547,-77.02550689,293262,active,POINT(-77.025762 38.887312),Independence Ave & L'Enfant Plaza SW/DOE,0.04648749230052463
National Museum of American History,,38.891199,-77.029989,293200,active,POINT(-77.02858 38.888767),Smithsonian-National Mall / Jefferson Dr & 12th St SW,0.18436967163463613
National Museum of American Jewish Military History,1811 R STREET NW,38.91281314,-77.04211348,243292,active,POINT(-77.041834 38.912648),18th & R St NW,0.018870714051699128
National Museum of American Jewish Military History,1811 R STREET NW,38.91281314,-77.04211348,243292,active,POINT(-77.041829 38.911268),18th & New Hampshire Ave NW,0.10787205380096149
National Museum of Natural History,NATIONAL MUSEUM OF NATURAL HISTORY,38.89121662,-77.02595438,293188,active,POINT(-77.026013 38.893028),10th St & Constitution Ave NW,0.12522092412439287
National Museum of Women in the Arts,1250 NEW YORK AVENUE NW,38.90004902,-77.02916139,279010,active,POINT(-77.027869 38.898364),Metro Center / 12th & G St NW,0.1356165697277748
National Museum of Women in the Arts,1250 NEW YORK AVENUE NW,38.90004902,-77.02916139,279010,active,POINT(-77.031686 38.899632),14th St & New York Ave NW,0.138806140048813
National Museum of Women in the Arts,1250 NEW YORK AVENUE NW,38.90004902,-77.02916139,279010,active,POINT(-77.029822 38.900283),13th St & New York Ave NW,0.039036034083367956
National Museum of the American Indian,NATIONAL MUSEUM OF THE AMERICAN INDIAN,38.88827538,-77.01662957,294429,active,POINT(-77.013769 38.886978),Washington & Independence Ave SW/HHS,0.17809243392477062
National Museum of the American Indian,NATIONAL MUSEUM OF THE AMERICAN INDIAN,38.88827538,-77.01662957,294429,active,POINT(-77.0177006721497 38.8863719405453),4th & C St SW,0.14360847819231662
National Museum of the American Indian,NATIONAL MUSEUM OF THE AMERICAN INDIAN,38.88827538,-77.01662957,294429,active,POINT(-77.017253 38.890493),4th St & Madison Dr NW,0.156881844054379
National Portrait Gallery,,38.898181,-77.022972,294248,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,0.1755758872827351
National Portrait Gallery,,38.898181,-77.022972,294248,active,POINT(-77.0221906900406 38.8972830485385),7th & F St NW / National Portrait Gallery,0.0749454241260442
National Portrait Gallery,,38.898181,-77.022972,294248,active,POINT(-77.023086 38.8997),8th & H St NW,0.10515426888424323
National Postal Museum,2 MASSACHUSETTS AVENUE NE,38.89813891,-77.00818895,293217,active,POINT(-77.008911 38.899703),North Capitol St & G Pl NE,0.11485594348861963
