,museum,address,longitude,latitude,ID,mus_point,station_id,name,region_id,capacity_x,lat,lon,station_status___1_,stat_point,closest,approx_distance_miles,Station_Name,num_bikes_available,num_docks_available,num_ebikes_available,capacity_y,station_lat,station_lon,last_updated_date,avlb_bikes,avlb_docks
48,Whittemore House,1526 NEW HAMPSHIRE AVENUE NW,-77.04266708,38.91093038,225724,POINT(-77.04266708 38.91093038),485,Connecticut Ave & R St NW,42.0,19,38.912644,-77.04564,active,POINT(-77.04564 38.912644),True,0.19895139401714726,Connecticut Ave & R St NW,17,2,1,19,38.912644,-77.04564,2020-08-17 09:03:05,True,False
49,Woodrow Wilson House,2340 S STREET NW,-77.05170373,38.91385408,218994,POINT(-77.05170373 38.91385408),485,Connecticut Ave & R St NW,42.0,19,38.912644,-77.04564,active,POINT(-77.04564 38.912644),True,0.33661779597873875,Connecticut Ave & R St NW,17,2,1,19,38.912644,-77.04564,2020-08-17 09:03:05,True,False
50,Anderson House,2118 MASSACHUSETTS AVENUE NW,-77.04770288,38.91071637,293220,POINT(-77.04770288 38.91071637),51,Massachusetts Ave & Dupont Circle NW,42.0,45,38.9101,-77.0444,active,POINT(-77.0444 38.9101),True,0.1826491530801564,Massachusetts Ave & Dupont Circle NW,29,12,1,45,38.9101,-77.0444,2020-08-17 09:03:05,True,True
51,Heurich House Museum,1307 NEW HAMPSHIRE AVENUE NW,-77.04460391,38.90802275,241060,POINT(-77.04460391 38.90802275),51,Massachusetts Ave & Dupont Circle NW,42.0,45,38.9101,-77.0444,active,POINT(-77.0444 38.9101),True,0.1439732097945434,Massachusetts Ave & Dupont Circle NW,29,12,1,45,38.9101,-77.0444,2020-08-17 09:03:05,True,True
52,O Street Museum,2020 O STREET NW,-77.04592519,38.90838357,243057,POINT(-77.04592519 38.90838357),51,Massachusetts Ave & Dupont Circle NW,42.0,45,38.9101,-77.0444,active,POINT(-77.0444 38.9101),True,0.1442137688469386,Massachusetts Ave & Dupont Circle NW,29,12,1,45,38.9101,-77.0444,2020-08-17 09:03:05,True,True
53,Whittemore House,1526 NEW HAMPSHIRE AVENUE NW,-77.04266708,38.91093038,225724,POINT(-77.04266708 38.91093038),51,Massachusetts Ave & Dupont Circle NW,42.0,45,38.9101,-77.0444,active,POINT(-77.0444 38.9101),True,0.1094400706307838,Massachusetts Ave & Dupont Circle NW,29,12,1,45,38.9101,-77.0444,2020-08-17 09:03:05,True,True
54,Woodrow Wilson House,2340 S STREET NW,-77.05170373,38.91385408,218994,POINT(-77.05170373 38.91385408),51,Massachusetts Ave & Dupont Circle NW,42.0,45,38.9101,-77.0444,active,POINT(-77.0444 38.9101),True,0.470702255344439,Massachusetts Ave & Dupont Circle NW,29,12,1,45,38.9101,-77.0444,2020-08-17 09:03:05,True,True
55,Anderson House,2118 MASSACHUSETTS AVENUE NW,-77.04770288,38.91071637,293220,POINT(-77.04770288 38.91071637),107,20th & O St NW / Dupont South,42.0,19,38.908905,-77.04478,active,POINT(-77.04478 38.908905),True,0.2009367018831,20th & O St NW / Dupont South,2,17,0,19,38.908905,-77.04478,2020-08-17 09:03:05,False,True
56,Heurich House Museum,1307 NEW HAMPSHIRE AVENUE NW,-77.04460391,38.90802275,241060,POINT(-77.04460391 38.90802275),107,20th & O St NW / Dupont South,42.0,19,38.908905,-77.04478,active,POINT(-77.04478 38.908905),True,0.061701698997981565,20th & O St NW / Dupont South,2,17,0,19,38.908905,-77.04478,2020-08-17 09:03:05,False,True
57,O Street Museum,2020 O STREET NW,-77.04592519,38.90838357,243057,POINT(-77.04592519 38.90838357),107,20th & O St NW / Dupont South,42.0,19,38.908905,-77.04478,active,POINT(-77.04478 38.908905),True,0.07135226966914283,20th & O St NW / Dupont South,2,17,0,19,38.908905,-77.04478,2020-08-17 09:03:05,False,True
58,Whittemore House,1526 NEW HAMPSHIRE AVENUE NW,-77.04266708,38.91093038,225724,POINT(-77.04266708 38.91093038),107,20th & O St NW / Dupont South,42.0,19,38.908905,-77.04478,active,POINT(-77.04478 38.908905),True,0.1802829844826225,20th & O St NW / Dupont South,2,17,0,19,38.908905,-77.04478,2020-08-17 09:03:05,False,True
59,Anderson House,2118 MASSACHUSETTS AVENUE NW,-77.04770288,38.91071637,293220,POINT(-77.04770288 38.91071637),556,18th & New Hampshire Ave NW,42.0,19,38.911268,-77.041829,active,POINT(-77.041829 38.911268),True,0.3181580825508413,18th & New Hampshire Ave NW,10,8,0,19,38.911268,-77.041829,2020-08-17 09:03:05,True,True
60,L. Ron Hubbard House,1812 19TH STREET NW,-77.04373354,38.91458854,240991,POINT(-77.04373354 38.91458854),556,18th & New Hampshire Ave NW,42.0,19,38.911268,-77.041829,active,POINT(-77.041829 38.911268),True,0.2512925654937709,18th & New Hampshire Ave NW,10,8,0,19,38.911268,-77.041829,2020-08-17 09:03:05,True,True
61,National Museum of American Jewish Military History,1811 R STREET NW,-77.04211348,38.91281314,243292,POINT(-77.04211348 38.91281314),556,18th & New Hampshire Ave NW,42.0,19,38.911268,-77.041829,active,POINT(-77.041829 38.911268),True,0.10787205380096147,18th & New Hampshire Ave NW,10,8,0,19,38.911268,-77.041829,2020-08-17 09:03:05,True,True
62,Whittemore House,1526 NEW HAMPSHIRE AVENUE NW,-77.04266708,38.91093038,225724,POINT(-77.04266708 38.91093038),556,18th & New Hampshire Ave NW,42.0,19,38.911268,-77.041829,active,POINT(-77.041829 38.911268),True,0.050749061505560925,18th & New Hampshire Ave NW,10,8,0,19,38.911268,-77.041829,2020-08-17 09:03:05,True,True
63,Armenian Genocide Museum and Memorial,1334 G STREET NW,-77.03108204,38.89804146,240658,POINT(-77.03108204 38.89804146),117,14th & G St NW,42.0,23,38.898409,-77.032278,active,POINT(-77.032278 38.898409),True,0.06915726063107164,14th & G St NW,11,12,0,23,38.898409,-77.032278,2020-08-17 09:03:05,True,True
64,Armenian Genocide Museum and Memorial,1334 G STREET NW,-77.03108204,38.89804146,240658,POINT(-77.03108204 38.89804146),69,14th St & New York Ave NW,42.0,23,38.899632000000004,-77.031686,active,POINT(-77.031686 38.899632),True,0.11461863553233635,14th St & New York Ave NW,8,15,0,23,38.899632,-77.031686,2020-08-17 09:03:05,True,True
65,Armenian Genocide Museum and Memorial,1334 G STREET NW,-77.03108204,38.89804146,240658,POINT(-77.03108204 38.89804146),501,15th St & Pennsylvania Ave NW,42.0,19,38.89646474748647,-77.0333808660507,active,POINT(-77.0333808660507 38.8964647474865),True,0.16480465579951753,15th St & Pennsylvania Ave NW,5,12,0,19,38.89646474748647,-77.0333808660507,2020-08-17 09:03:05,True,True
66,Armenian Genocide Museum and Memorial,1334 G STREET NW,-77.03108204,38.89804146,240658,POINT(-77.03108204 38.89804146),91,13th St & New York Ave NW,42.0,23,38.900283,-77.029822,active,POINT(-77.029822 38.900283),True,0.16908413551527404,13th St & New York Ave NW,16,5,0,23,38.900283,-77.029822,2020-08-17 09:03:05,True,True
67,Armenian Genocide Museum and Memorial,1334 G STREET NW,-77.03108204,38.89804146,240658,POINT(-77.03108204 38.89804146),103,Metro Center / 12th & G St NW,42.0,39,38.898364,-77.027869,active,POINT(-77.027869 38.898364),True,0.17424288606515886,Metro Center / 12th & G St NW,31,8,0,39,38.898364,-77.027869,2020-08-17 09:03:05,True,True
68,Ford's Theatre,511 10TH STREET NW,-77.02579655,38.89658294,239829,POINT(-77.02579655 38.89658294),103,Metro Center / 12th & G St NW,42.0,39,38.898364,-77.027869,active,POINT(-77.027869 38.898364),True,0.16605695707506546,Metro Center / 12th & G St NW,31,8,0,39,38.898364,-77.027869,2020-08-17 09:03:05,True,True
69,Petersen House,516 10TH STREET NW,-77.02619882,38.89676807,239374,POINT(-77.02619882 38.89676807),103,Metro Center / 12th & G St NW,42.0,39,38.898364,-77.027869,active,POINT(-77.027869 38.898364),True,0.1422455098887376,Metro Center / 12th & G St NW,31,8,0,39,38.898364,-77.027869,2020-08-17 09:03:05,True,True
70,Charles Sumner School,1201 17TH STREET NW,-77.03823126,38.90596805,301200,POINT(-77.03823126 38.90596805),136,Rhode Island & Connecticut Ave NW,42.0,23,38.90599569999115,-77.03980207443237,active,POINT(-77.0398020744324 38.9059956999911),True,0.08449758298928527,Rhode Island & Connecticut Ave NW,15,6,0,23,38.90599569999115,-77.03980207443237,2020-08-17 09:03:05,True,True
71,The Wilderness Society - Ansel Adams Collection,1615 M STREET NW,-77.03735337,38.90585437,301103,POINT(-77.03735337 38.90585437),136,Rhode Island & Connecticut Ave NW,42.0,23,38.90599569999115,-77.03980207443237,active,POINT(-77.0398020744324 38.9059956999911),True,0.13204935493388828,Rhode Island & Connecticut Ave NW,15,6,0,23,38.90599569999115,-77.03980207443237,2020-08-17 09:03:05,True,True
72,Charles Sumner School,1201 17TH STREET NW,-77.03823126,38.90596805,301200,POINT(-77.03823126 38.90596805),229,17th St & Massachusetts Ave NW,42.0,19,38.908142,-77.038359,active,POINT(-77.038359 38.908142),True,0.15039475305981356,17th St & Massachusetts Ave NW,8,11,0,19,38.908142,-77.038359,2020-08-17 09:03:05,True,True
73,The Wilderness Society - Ansel Adams Collection,1615 M STREET NW,-77.03735337,38.90585437,301103,POINT(-77.03735337 38.90585437),229,17th St & Massachusetts Ave NW,42.0,19,38.908142,-77.038359,active,POINT(-77.038359 38.908142),True,0.1670880276910648,17th St & Massachusetts Ave NW,8,11,0,19,38.908142,-77.038359,2020-08-17 09:03:05,True,True
74,U.S. Daughters of 1812 Library and Museum,1463 RHODE ISLAND AVENUE NW,-77.03415685,38.90835625,240224,POINT(-77.03415685 38.90835625),229,17th St & Massachusetts Ave NW,42.0,19,38.908142,-77.038359,active,POINT(-77.038359 38.908142),True,0.22646247081297524,17th St & Massachusetts Ave NW,8,11,0,19,38.908142,-77.038359,2020-08-17 09:03:05,True,True
75,Charles Sumner School,1201 17TH STREET NW,-77.03823126,38.90596805,301200,POINT(-77.03823126 38.90596805),483,15th & M St NW,42.0,19,38.905424,-77.034674,active,POINT(-77.034674 38.905424),True,0.1949644305129553,15th & M St NW,6,13,0,19,38.905424,-77.034674,2020-08-17 09:03:05,True,True
76,The Wilderness Society - Ansel Adams Collection,1615 M STREET NW,-77.03735337,38.90585437,301103,POINT(-77.03735337 38.90585437),483,15th & M St NW,42.0,19,38.905424,-77.034674,active,POINT(-77.034674 38.905424),True,0.14713057798521353,15th & M St NW,6,13,0,19,38.905424,-77.034674,2020-08-17 09:03:05,True,True
77,U.S. Daughters of 1812 Library and Museum,1463 RHODE ISLAND AVENUE NW,-77.03415685,38.90835625,240224,POINT(-77.03415685 38.90835625),483,15th & M St NW,42.0,19,38.905424,-77.034674,active,POINT(-77.034674 38.905424),True,0.2045420676859552,15th & M St NW,6,13,0,19,38.905424,-77.034674,2020-08-17 09:03:05,True,True
