MUSEUM,MATCHADDRESS,LATITUDE,LONGITUDE,ID,mus_point,region_id,capacity,lat,lon,num_bikes_available,status,stat_point,Station_Name,closest,approx_distance_miles
Howard University Gallery of Art,2455 6TH STREET NW,38.92452904,-77.02098138,188381,POINT(-77.02098138 38.92452904),42,11,38.9249,-77.0222,7,active,POINT(-77.0222 38.9249),Georgia Ave and Fairmont St NW,true,0.07035523563237088
Interior Museum,1849 C STREET NW,38.89444538,-77.04260027,293214,POINT(-77.04260027 38.89444538),42,11,38.8952,-77.0436,8,active,POINT(-77.0436 38.8952),19th & E Street NW,true,0.07490752390696834
Interior Museum,1849 C STREET NW,38.89444538,-77.04260027,293214,POINT(-77.04260027 38.89444538),42,15,38.8963,-77.045,3,active,POINT(-77.045 38.8963),20th & E St NW,true,0.18189904921311853
Interior Museum,1849 C STREET NW,38.89444538,-77.04260027,293214,POINT(-77.04260027 38.89444538),42,19,38.893511,-77.041544,11,active,POINT(-77.041544 38.893511),18th & C St NW,true,0.08600909504385003
Interior Museum,1849 C STREET NW,38.89444538,-77.04260027,293214,POINT(-77.04260027 38.89444538),42,15,38.894722,-77.045128,7,active,POINT(-77.045128 38.894722),20th St & Virginia Ave NW,true,0.13729662468773182
Interior Museum,1849 C STREET NW,38.89444538,-77.04260027,293214,POINT(-77.04260027 38.89444538),42,35,38.8923,-77.0436,18,active,POINT(-77.0436 38.8923),19th St & Constitution Ave NW,true,0.15771370077096725
International Spy Museum,800 F STREET NW,38.89697903,-77.02328389,238378,POINT(-77.02328389 38.89697903),42,15,38.894851,-77.02324,7,active,POINT(-77.02324 38.894851),8th & D St NW,true,0.14708327808397714
International Spy Museum,800 F STREET NW,38.89697903,-77.02328389,238378,POINT(-77.02328389 38.89697903),42,27,38.89728304853854,-77.02219069004059,19,active,POINT(-77.0221906900406 38.8972830485385),7th & F St NW / National Portrait Gallery,true,0.062438966654325405
International Spy Museum,800 F STREET NW,38.89697903,-77.02328389,238378,POINT(-77.02328389 38.89697903),42,23,38.89824328774852,-77.02623546123505,5,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,true,0.181204504251964
International Spy Museum,800 F STREET NW,38.89697903,-77.02328389,238378,POINT(-77.02328389 38.89697903),42,15,38.895914,-77.026064,14,active,POINT(-77.026064 38.895914),10th & E St NW,true,0.166662987767019
L. Ron Hubbard House,1812 19TH STREET NW,38.91458854,-77.04373354,240991,POINT(-77.04373354 38.91458854),42,15,38.9154,-77.0446,5,active,POINT(-77.0446 38.9154),20th St & Florida Ave NW,true,0.07290761995868845
L. Ron Hubbard House,1812 19TH STREET NW,38.91458854,-77.04373354,240991,POINT(-77.04373354 38.91458854),42,19,38.912644,-77.04564,16,active,POINT(-77.04564 38.912644),Connecticut Ave & R St NW,true,0.16902185462692657
L. Ron Hubbard House,1812 19TH STREET NW,38.91458854,-77.04373354,240991,POINT(-77.04373354 38.91458854),42,19,38.912648,-77.041834,9,active,POINT(-77.041834 38.912648),18th & R St NW,true,0.16857642810051754
Luther W. Brady Art Gallery,805 21ST STREET NW,38.89980986,-77.04638644,240947,POINT(-77.04638644 38.89980986),42,17,38.89892546716842,-77.04885238395946,2,active,POINT(-77.0488523839595 38.8989254671684),22nd & H St NW,true,0.14603229844976495
Luther W. Brady Art Gallery,805 21ST STREET NW,38.89980986,-77.04638644,240947,POINT(-77.04638644 38.89980986),42,19,38.901539,-77.046564,10,active,POINT(-77.046564 38.901539),21st St & Pennsylvania Ave NW,true,0.11987873050785806
Luther W. Brady Art Gallery,805 21ST STREET NW,38.89980986,-77.04638644,240947,POINT(-77.04638644 38.89980986),42,35,38.90071062547463,-77.04644858837128,6,active,POINT(-77.0464485883713 38.9007106254746),21st & I St NW,true,0.06233995779108664
Luther W. Brady Art Gallery,805 21ST STREET NW,38.89980986,-77.04638644,240947,POINT(-77.04638644 38.89980986),42,15,38.90088,-77.048911,5,active,POINT(-77.048911 38.90088),22nd & I St NW / Foggy Bottom,true,0.1546124112870132
Mary Bethune Council House,1318 VERMONT AVENUE NW,38.90816835,-77.03086335,225385,POINT(-77.03086335 38.90816835),42,33,38.9059,-77.0325,10,active,POINT(-77.0325 38.9059),Thomas Circle,true,0.17978007173567165
Mary Bethune Council House,1318 VERMONT AVENUE NW,38.90816835,-77.03086335,225385,POINT(-77.03086335 38.90816835),42,23,38.9086,-77.0323,1,active,POINT(-77.0323 38.9086),14th & Rhode Island Ave NW,true,0.08281722131910647
Mexican Cultural Institute,2829 16TH STREET NW,38.92554484,-77.03603436,235878,POINT(-77.03603436 38.92554484),42,33,38.926088,-77.036536,31,active,POINT(-77.036536 38.926088),16th & Harvard St NW,true,0.04622106679482566
Mexican Cultural Institute,2829 16TH STREET NW,38.92554484,-77.03603436,235878,POINT(-77.03603436 38.92554484),42,15,38.92333,-77.0352,11,active,POINT(-77.0352 38.92333),15th & Euclid St  NW,true,0.15950170423269025
Museum of the Bible,400 4TH STREET SW,38.884831,-77.017138,311513,POINT(-77.017138 38.884831),42,39,38.88637194054526,-77.01770067214966,29,active,POINT(-77.0177006721497 38.8863719405453),4th & C St SW,true,0.11070970896712254
Museum of the Bible,400 4TH STREET SW,38.884831,-77.017138,311513,POINT(-77.017138 38.884831),42,19,38.88412,-77.017445,10,active,POINT(-77.017445 38.88412),4th & E St SW,true,0.05183709798238451
