,museum,address,longitude,latitude,ID,mus_point,station_id,name,region_id,capacity_x,lat,lon,station_status___1_,stat_point,Station_Name_x,closest,approx_distance_miles,Station_Name_y,num_bikes_available,num_docks_available,num_ebikes_available,capacity_y,station_lat,station_lon,last_updated_date,avlb_bikes,avlb_docks
51,Smithsonian American Art Museum,,-77.022972,38.898181,294248,POINT(-77.022972 38.898181),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.1755758872827351,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
52,International Spy Museum,800 F STREET NW,-77.02328389,38.89697903,238378,POINT(-77.02328389 38.89697903),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.181204504251964,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
53,Armenian Genocide Museum and Memorial,1334 G STREET NW,-77.03108204,38.89804146,240658,POINT(-77.03108204 38.89804146),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.2610431974375457,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
54,Clara Barton Missing Soldiers Office Museum,437 7TH STREET NW,-77.02169365,38.8958605,279777,POINT(-77.02169365 38.8958605),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.2946016268167605,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
55,Naval Heritage Center,701 PENNSYLVANIA AVENUE NW,-77.02238001,38.89443849,279889,POINT(-77.02238001 38.89443849),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.3348738941485797,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
56,German-American Heritage Museum,719 6TH STREET NW,-77.0195865,38.89910316,238949,POINT(-77.0195865 38.89910316),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.36251136305788617,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
57,National Gallery of Art Sculpture Garden,,-77.022906,38.891254,293258,POINT(-77.022906 38.891254),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.515146356966839,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
58,National Gallery of Art - West Building,,-77.019922,38.891299,293249,POINT(-77.019922 38.891299),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.5879003132487534,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
59,Decatur House Museum,748 JACKSON PLACE NW,-77.03819661,38.90002633,293257,POINT(-77.03819661 38.90002633),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.6550091274456722,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
60,Mary Bethune Council House,1318 VERMONT AVENUE NW,-77.03086335,38.90816835,225385,POINT(-77.03086335 38.90816835),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.729664098254205,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
61,Corcoran Gallery of Art,500 17TH STREET NW,-77.03974044,38.89584701,279802,POINT(-77.03974044 38.89584701),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.7450067815574195,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
62,American Red Cross Museum,430 17TH STREET NW,-77.04020477,38.89481909,300987,POINT(-77.04020477 38.89481909),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.7877322853271029,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
63,The Wilderness Society - Ansel Adams Collection,1615 M STREET NW,-77.03735337,38.90585437,301103,POINT(-77.03735337 38.90585437),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.7963619617660646,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
64,Daughters of the American Revolution Museum,1776 D STREET NW,-77.03999645,38.89395841,279384,POINT(-77.03999645 38.89395841),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.7971861864614767,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
65,U.S. Daughters of 1812 Library and Museum,1463 RHODE ISLAND AVENUE NW,-77.03415685,38.90835625,240224,POINT(-77.03415685 38.90835625),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.8184956455257093,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
66,Charles Sumner School,1201 17TH STREET NW,-77.03823126,38.90596805,301200,POINT(-77.03823126 38.90596805),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.8373824627195542,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
67,D.C. Fire and EMS Museum,439 NEW JERSEY AVENUE NW,-77.0109,38.895835,237163,POINT(-77.0109 38.895835),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.8414451443044138,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
68,United States Holocaust Memorial Museum,100 RAOUL WALLENBERG PLACE SW,-77.03268624,38.88668129,293186,POINT(-77.03268624 38.88668129),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.8711151474460882,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
69,Interior Museum,1849 C STREET NW,-77.04260027,38.89444538,293214,POINT(-77.04260027 38.89444538),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.9184930511577032,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
70,Museum of the Bible,400 4TH STREET SW,-77.017138,38.884831,311513,POINT(-77.017138 38.884831),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,1.0481423660654383,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
71,The Textile Museum,701 21ST STREET NW,-77.04641484,38.89879551,311648,POINT(-77.04641484 38.89879551),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,1.0860006384046756,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
72,U.S. Capitol Visitor Center,,-77.009036,38.88979448,294394,POINT(-77.009036 38.88979448),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,1.0939644830116193,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
73,House of the Temple,1733 16TH STREET NW,-77.03582659,38.91369256,242883,POINT(-77.03582659 38.91369256),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,1.1857352448548846,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
74,Heurich House Museum,1307 NEW HAMPSHIRE AVENUE NW,-77.04460391,38.90802275,241060,POINT(-77.04460391 38.90802275),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,1.1969299339838544,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
