station_id,Station_Name,num_bikes_available,num_docks_available,num_ebikes_available,capacity,station_lat,station_lon,last_updated_date
115,11th & M St NW,14,5,0,19,38.905607,-77.027137,2020-07-22 03:48:40
116,36th & Calvert St NW / Glover Park,2,13,1,15,38.922581,-77.070334,2020-07-22 03:48:40
117,14th & G St NW,16,7,0,23,38.898409,-77.032278,2020-07-22 03:48:40
118,Potomac Ave & 35th St S,7,16,0,23,38.844015,-77.050537,2020-07-22 03:48:40
124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,11,20,0,31,38.88412,-77.04656999999999,2020-07-22 03:48:40
125,11th & F St NW,1,14,0,15,38.897857,-77.026975,2020-07-22 03:48:40
126,23rd & E St NW ,6,13,0,19,38.896104,-77.049882,2020-07-22 03:48:40
127,Lynn St & 19th St North,18,13,0,31,38.897315,-77.070993,2020-07-22 03:48:40
128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,15,4,0,19,38.8946,-77.072305,2020-07-22 03:48:40
129,Clarendon Blvd & Pierce St,4,10,2,15,38.893438,-77.076389,2020-07-22 03:48:40
130,Wilson Blvd & N Uhle St,8,7,7,15,38.891696,-77.0846,2020-07-22 03:48:40
131,Rhodes St & 16th St N,1,10,0,11,38.892164,-77.079375,2020-07-22 03:48:40
132,Fairfax Village,6,9,1,15,38.865590000000005,-76.95210300000001,2020-07-22 03:48:40
133,21st St & Constitution Ave NW,11,4,0,15,38.892459,-77.04656700000001,2020-07-22 03:48:40
134,Wilson Blvd & N Edgewood St,5,10,0,15,38.889,-77.0925,2020-07-22 03:48:40
135,Columbia Rd & Belmont St NW,5,14,0,19,38.920669000000004,-77.04368000000001,2020-07-22 03:48:40
136,Rhode Island & Connecticut Ave NW,13,10,0,23,38.90599569999115,-77.03980207443237,2020-07-22 03:48:40
137,Thomas Circle,6,25,0,33,38.9059,-77.0325,2020-07-22 03:48:40
138,Wilson Blvd & N Franklin Rd,3,8,0,11,38.8904,-77.0889,2020-07-22 03:48:40
139,Clarendon Blvd & N Fillmore St,4,11,1,15,38.8881,-77.09308,2020-07-22 03:48:40
140,Clarendon Metro / Wilson Blvd & N Highland St,2,15,0,17,38.887859999999996,-77.094875,2020-07-22 03:48:40
141,18th St & Pennsylvania Ave NW,13,12,0,27,38.89968,-77.041539,2020-07-22 03:48:40
142,4th & C St SW,26,11,0,39,38.88637194054526,-77.01770067214966,2020-07-22 03:48:40
143,4th & E St SW,15,4,0,19,38.88412,-77.017445,2020-07-22 03:48:40
144,3rd & G St SE,2,17,0,19,38.881184999999995,-77.001828,2020-07-22 03:48:40
145,7th & R St NW / Shaw Library,5,10,0,15,38.912719,-77.022155,2020-07-22 03:48:40
146,9th & Upshur St NW,5,8,3,15,38.9418,-77.0251,2020-07-22 03:48:40
147,1st & Rhode Island Ave NW,9,6,0,15,38.915417,-77.012289,2020-07-22 03:48:40
148,Columbia Rd & Georgia Ave NW,15,2,9,19,38.92812111132096,-77.02379465103151,2020-07-22 03:48:40
149,California St & Florida Ave NW,17,2,1,19,38.917761,-77.04061999999999,2020-07-22 03:48:40
150,Benning Rd & East Capitol St NE / Benning Rd Metro,18,1,0,19,38.889934999999994,-76.93723,2020-07-22 03:48:40
151,3000 Connecticut Ave NW / National Zoo,14,0,0,15,38.930282,-77.055599,2020-07-22 03:48:40
152,Anacostia Ave & Benning Rd NE / River Terrace ,9,4,0,15,38.896544,-76.96011999999999,2020-07-22 03:48:40
153,M St & Pennsylvania Ave NW,9,10,1,19,38.905126,-77.056887,2020-07-22 03:48:40
154,15th St & Massachusetts Ave SE,8,7,2,15,38.88732,-76.98356899999999,2020-07-22 03:48:40
155,Congress Heights Metro,2,13,0,15,38.844711,-76.98782299999999,2020-07-22 03:48:40
156,N Quincy St & Glebe Rd,0,8,0,11,38.876393,-77.10773499999999,2020-07-22 03:48:40
157,Barcroft Community Center,9,0,0,11,38.850336577884455,-77.10098862648009,2020-07-22 03:48:40
158,N Veitch St & 20th St N,4,11,0,15,38.896923,-77.086502,2020-07-22 03:48:40
159,10th & K St NW,11,12,0,23,38.9024,-77.02622,2020-07-22 03:48:40
160,Fairfax Dr & Wilson Blvd,0,11,0,11,38.885801,-77.09774499999999,2020-07-22 03:48:40
161,Key Blvd & N Quinn St,3,8,0,11,38.896355,-77.078408,2020-07-22 03:48:40
162,1st & K St SE,14,1,0,15,38.878854378063295,-77.00572729110719,2020-07-22 03:48:40
163,39th & Calvert St NW / Stoddert,12,6,8,19,38.922649,-77.077271,2020-07-22 03:48:40
164,1st & Washington Hospital Center NW,9,6,0,15,38.928743,-77.012457,2020-07-22 03:48:40
165,Virginia Square Metro / Monroe St & 9th St N,5,14,0,19,38.882788,-77.103148,2020-07-22 03:48:40
166,Central Library / Quincy St & 10th St N,4,6,0,11,38.88397,-77.10783,2020-07-22 03:48:40
167,Washington Blvd & 10th St N,7,8,5,15,38.884734,-77.093485,2020-07-22 03:48:40
168,Jefferson Dr & 14th St SW,6,17,0,23,38.888553,-77.03242900000001,2020-07-22 03:48:40
169,Smithsonian-National Mall / Jefferson Dr & 12th St SW,8,25,0,35,38.888767,-77.02858,2020-07-22 03:48:40
170,George Mason Dr & Wilson Blvd,9,6,0,15,38.87887,-77.1207,2020-07-22 03:48:40
171,6th St & Indiana Ave NW,17,2,0,19,38.894573,-77.01994,2020-07-22 03:48:40
172,N Veitch St & Key Blvd,1,10,1,11,38.893237,-77.086063,2020-07-22 03:48:40
173,Lee Hwy & N Adams St,6,13,0,19,38.89593,-77.08900600000001,2020-07-22 03:48:40
174,15th St & N Scott St,2,7,0,11,38.89054,-77.08095,2020-07-22 03:48:40
175,Washington Blvd & 7th St N,3,8,0,11,38.88081,-77.09079200000001,2020-07-22 03:48:40
176,Ballston Metro / Stuart St & 9th St N,0,23,0,23,38.881044,-77.11176800000001,2020-07-22 03:48:40
177,Fairfax Dr & N Randolph St,1,10,1,11,38.882629,-77.10936600000001,2020-07-22 03:48:40
178,Jefferson Memorial,7,16,0,23,38.879819,-77.037413,2020-07-22 03:48:40
